"Qty";"Value";"Device";"Package";"Parts";"Description";"MPN";"POPULARITY";"VALUE";
"2";"";"FFC_10PH";"FFC_1.0X10";"X1, X2";"";"";"";"";
"2";"";"RESISTOR_0402";"R0402";"R6, R7";"";"";"";"";
"1";"1.5nF";"CAP_CERAMIC_0603";"SMD_0603C";"C4";"";"";"";"";
"1";"100K";"RESISTOR_0402";"R0402";"R10";"";"";"";"";
"2";"100nF 6.3V";"CERAMIC-1UF-6.3V-10%-X5R(0402)";"C0402";"C1, C2";"302010003";"CC0402KRX5R5BB105";"";"1UF 6.3V";
"1";"10K";"RESISTOR_0402";"R0402";"R8";"";"";"";"";
"1";"200pF";"CERAMIC-1UF-6.3V-10%-X5R(0402)";"C0402";"C3";"302010003";"CC0402KRX5R5BB105";"";"1UF 6.3V";
"5";"4.7K";"RESISTOR_0402";"R0402";"R1, R3, R4, R5, R9";"";"";"";"";
"1";"4.7K";"RESISTOR_0603";"SMD_0603";"R2";"";"";"";"";
"1";"ATTINY85QFN";"ATTINY85QFN";"QFN20_4X4";"U1";"The high-performance, low-power Microchip 8-bit AVR RISC-based microcontroller combines 8KB ISP flash memory,";"";"";"";
"1";"BAT54";"BAT54";"SOT23";"D1";"Schottky Diodes";"";"2";"";
"2";"BC847";"BC847";"SOT23";"T1, T2";"NPN TRANSISTOR";"";"5";"";
"1";"BSS138";"BSS138";"SOT-23-3";"Q3";"";"";"";"";
"2";"BSS138";"SMD-MOSFET-N-CH-50V-200MA-BSS138W-7-F(SOT-23)";"SOT-23";"Q1, Q2";"305030000";"BSS138W-7-F";"";"BSS138W-7-F";
"1";"MAX4417EUA+";"MAX_OP_AMPUMAX";"SOT23-8";"OP1";"";"";"";"";
"6";"PAD1.5X3.0";"PAD1.5X3.0";"PAD1.5X3.0";"TP1, TP2, TP3, TP4, TP5, TP6";"";"";"";"";
